"id";"gravity";"acceleration";"rotation";"attitude";"fallenDown";"date";"studentId"
1441;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:06";"studentpG1IDP"
1442;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:07";"studentrNhcAO"
1443;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:07";"studentR2PlMJ"
1444;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:08";"studentZvfsv9"
1445;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:08";"studentkqRbNP"
1446;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:09";"studentPbtInK"
1447;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:30:09";"studentwfpZ7o"
1448;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:10";"studentvjPKBj"
1449;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:10";"studentazOxZV"
1450;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:11";"studentkstcCG"
1451;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:11";"studentTBJBdk"
1452;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:12";"studentzDvyfg"
1453;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:12";"studento1vcoe"
1454;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:13";"studentJZD5Sh"
1455;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:13";"studentPL16CX"
1456;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:14";"studentj4O5bs"
1457;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:14";"student7vwfKS"
1458;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:15";"student4rLNsQ"
1459;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:15";"studentisUiIm"
1460;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:16";"studentMOvbSW"
1461;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:16";"studentbzml7n"
1462;"grav_x: 0.01, grav_y: 0.05, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.1, atti_yaw: -0.0";0;"2020-05-11 18:30:17";"studentut9kSb"
